x,y,z,pr,pg,pb,vr,vg,vb
-25617.4453125,14887.85546875,-13969.1796875,0.1651381286532182,0.0,0.0,0.85489268030035281,0.0,0.0
-25585.63671875,15003.7509765625,-14119.9951171875,0.32985563352417568,0.0,0.0,1.0,0.17402028339351006,0.0
-25541.216796875,14996.7958984375,-13985.455078125,1.0,0.17402028339351006,0.0,0.63870095515722114,0.0,0.0
-25462.875,15064.6201171875,-14006.6533203125,0.45339376217739391,0.0,0.0,1.0,0.33872589809982734,0.0
-25539.70703125,15012.826171875,-13941.064453125,0.28867625730643637,0.0,0.0,1.0,0.27696129258495839,0.0
-25512.8515625,15057.806640625,-13952.08984375,0.32985563352417568,0.0,0.0,1.0,1.0,0.24338159632277287
-25483.810546875,15073.890625,-13968.62109375,0.41221438595965454,0.0,0.0,1.0,0.060785173282916924,0.0
-25576.80859375,15056.8134765625,-14118.791015625,0.2783814132520015,0.0,0.0,1.0,0.22549078798923422,0.0
-25458.544921875,15085.763671875,-13960.8310546875,0.29897110136087113,0.0,0.0,1.0,0.6681371275124619,0.0
-25511.78515625,15027.8095703125,-14026.232421875,1.0,0.43137280637213082,0.0,0.88577721246365726,0.0,0.0
-25527.74609375,15031.2861328125,-14033.9677734375,1.0,0.51372561372528946,0.0,0.48427829434069847,0.0,0.0
-25641.26953125,14927.306640625,-14038.416015625,0.2783814132520015,0.0,0.0,1.0,0.1843143843126549,0.0
-25630.119140625,14875.2919921875,-14012.3994140625,0.21661234892539241,0.0,0.0,1.0,0.56519611832101335,0.0
-25665.375,14870.5576171875,-14051.7509765625,0.12395875243547878,0.0,0.0,0.082779376217739398,0.0,0.0
-25594.384765625,14807.9951171875,-14104.4638671875,0.041599999999999998,0.0,0.0,0.35044532163304543,0.0,0.0
-25558.6171875,14941.056640625,-14061.9326171875,1.0,0.36960820085726187,0.0,1.0,0.44166690729127567,0.0
-25512.330078125,14998.7939453125,-14052.5361328125,1.0,1.0,0.18161682867565229,1.0,0.58578432015930326,0.0
-25447.33984375,15039.375,-13999.8193359375,0.38132985379634987,0.0,0.0,0.67988033137496051,0.0,0.0
-25543.734375,15038.541015625,-14068.70703125,1.0,0.12254977879778592,0.0,1.0,0.43137280637213082,0.0
-25536.072265625,14970.015625,-14093.1708984375,1.0,0.029902870525482433,0.0,1.0,0.84313684313792403,0.0
-25558.458984375,14949.357421875,-14067.546875,1.0,0.40049050361469607,0.0,0.92695658868139685,0.0,0.0
-25544.806640625,14971.455078125,-14033.4169921875,1.0,1.0,1.0,0.041599999999999998,0.0,0.0
-25524.203125,14971.6044921875,-14040.2646484375,1.0,1.0,0.62941139411727653,1.0,0.84313684313792403,0.0
-25529.673828125,14966.5458984375,-14038.0625,1.0,1.0,0.69117616176439711,0.53575251461287277,0.0,0.0
-25473.517578125,15040.4560546875,-14040.2197265625,0.77253392786487418,0.0,0.0,0.65929064326609077,0.0,0.0
-25444.482421875,14979.1337890625,-13975.7421875,0.14454844054434846,0.0,0.0,1.0,0.62696072383588264,0.0
-25451.92578125,14998.095703125,-14102.4072265625,0.28867625730643637,0.0,0.0,0.58722673488504684,0.0,0.0
-25419.734375,15024.9580078125,-14080.4189453125,0.18572781676208786,0.0,0.0,1.0,0.6681371275124619,0.0
-25582.662109375,15165.6513671875,-13948.732421875,0.041599999999999998,0.0,0.0,1.0,0.33872589809982734,0.0
-25516.28125,14879.4892578125,-13964.2353515625,0.12395875243547878,0.0,0.0,0.99902049706244078,0.0,0.0
-25528.1875,14972.552734375,-14032.9443359375,1.0,1.0,0.76838212132329786,1.0,0.20490258615094456,0.0
-25415.76171875,15005.423828125,-14034.0625,0.1651381286532182,0.0,0.0,0.87548236840922256,0.0,0.0
-25473.00390625,14909.3291015625,-14131.265625,0.072484532163304541,0.0,0.0,0.2783814132520015,0.0,0.0
-25520.1953125,15032.9892578125,-14108.033203125,0.57693189083061203,0.0,0.0,1.0,1.0,1.0
-25405.525390625,14931.1796875,-13997.583984375,0.072484532163304541,0.0,0.0,0.84459783624591811,0.0,0.0
-25487.80859375,14921.5615234375,-13960.9541015625,0.1651381286532182,0.0,0.0,1.0,0.12254977879778592,0.0
-25537.36328125,14970.478515625,-13979.154296875,0.9475462767902666,0.0,0.0,0.31956078946974087,0.0,0.0
-25518.662109375,14976.0751953125,-14007.84765625,1.0,0.64754892567417233,0.0,0.88577721246365726,0.0,0.0
